»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Version:			4.6.11
»»»  Vision Version:		4.6.5 (R)
»»»  Vision Compiled:		7 December 2011
»»»  Driver Version:		4.6.17
»»»  Tester Name:		PPM21211-813
»»»  Tester S/N:		PPM21211-813                    
»»»  Internal Amp Type:		No Internal Amp
»»»  Internal Amp S/N:		100000
»»»  Execution Count:		0
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:				1/16/2024 - 11:22:53
Configured:			01/16/24 11:09:13 AM
Executed:			01/16/24 11:22:25 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:			
Lot Name:			
Wafer Name:			
Die Row/Column:			0/0
Capacitor Number:		0
Sample Area (cm2):		1.03e+000
Sample Thickness (µm):		1.15e+003

Mux Loop Adjustment:		Disabled

Amplifier:			High Voltage (HVA)
HVI Channel/Port:		1/1
Drive Gain Factor:			1000.00r
Drive Voltage Limit:			4000.00r

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:			PPM21211-813
Tester Serial Number:		PPM21211-813                    
Return Signal Amp. Level:	0.00019

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:			Hyst-2
Volts:				2300.00
Field:				20.00 (kV/cm)
Hysteresis Period (ms):		1.00e+002
Preset:				Enabled
Preset Delay (ms):		1.00e+002
Profile:			Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:				1017

Valid Data

Point		Time (ms)	Field (kV/cm)	Measured Polarization
 197		1.9404e+001	15.0737		11.4185
 198		1.9503e+001	15.1400		11.4259
 199		1.9602e+001	15.2263		11.4470
 200		1.9700e+001	15.2979		11.4662
 201		1.9799e+001	15.3736		11.4787
 202		1.9897e+001	15.4538		11.4971
 203		1.9996e+001	15.5315		11.5151
 204		2.0094e+001	15.6144		11.5241
 205		2.0192e+001	15.7020		11.5514
 206		2.0291e+001	15.7995		11.5620
 207		2.0390e+001	15.8492		11.5792
 208		2.0488e+001	15.9308		11.5925
 209		2.0587e+001	16.0184		11.6125
 210		2.0685e+001	16.0828		11.6285
 211		2.0784e+001	16.1617		11.6449
 212		2.0882e+001	16.2473		11.6610
 213		2.0980e+001	16.3349		11.6707
 214		2.1079e+001	16.3959		11.6919
 215		2.1177e+001	16.4941		11.7036
 216		2.1276e+001	16.5598		11.7208
 217		2.1375e+001	16.6487		11.7384
 218		2.1473e+001	16.7236		11.7517
 219		2.1572e+001	16.8026		11.7634
 220		2.1670e+001	16.8829		11.7810
 221		2.1769e+001	16.9691		11.7939
 222		2.1867e+001	17.0454		11.8119
 223		2.1965e+001	17.1197		11.8264
 224		2.2064e+001	17.1960		11.8409
 225		2.2163e+001	17.2743		11.8530
 226		2.2261e+001	17.3360		11.8679
 227		2.2360e+001	17.4302		11.8823
 228		2.2458e+001	17.5078		11.9003
 229		2.2557e+001	17.5894		11.9101
 230		2.2655e+001	17.6829		11.9265
 231		2.2753e+001	17.7473		11.9445
 232		2.2852e+001	17.8223		11.9504
 233		2.2951e+001	17.9191		11.9692
 234		2.3049e+001	17.9689		11.9833
 235		2.3148e+001	18.0498		11.9962
 236		2.3246e+001	18.1361		12.0075
 237		2.3345e+001	18.2250		12.0173
 238		2.3443e+001	18.2960		12.0376
 239		2.3541e+001	18.3630		12.0576
 240		2.3640e+001	18.4406		12.0646
 241		2.3738e+001	18.5255		12.0771
 242		2.3837e+001	18.6011		12.0916
 243		2.3936e+001	18.6801		12.1076
 244		2.4034e+001	18.7657		12.1229
 245		2.4133e+001	18.8433		12.1323
 246		2.4231e+001	18.9116		12.1440
 247		2.4329e+001	19.0018		12.1581
 248		2.4428e+001	19.0741		12.1706
 249		2.4526e+001	19.1637		12.1831
 250		2.4625e+001	19.2374		12.1980
 251		2.4724e+001	19.3143		12.2109
 252		2.4822e+001	19.3866		12.2222
 253		2.4921e+001	19.4828		12.2367
 254		2.5019e+001	19.5531		12.2461
 255		2.5118e+001	19.6274		12.2578
 256		2.5216e+001	19.6420		12.2664
 257		2.5314e+001	19.6812		12.2774
 258		2.5413e+001	19.6659		12.2797
 259		2.5512e+001	19.6414		12.2833
 260		2.5610e+001	19.6155		12.2821
 261		2.5709e+001	19.5989		12.2778
 262		2.5807e+001	19.5173		12.2786
 263		2.5906e+001	19.4742		12.2774
 264		2.6004e+001	19.4211		12.2750
 265		2.6102e+001	19.3621		12.2707
 266		2.6201e+001	19.2997		12.2727
 267		2.6299e+001	19.2281		12.2711
 268		2.6398e+001	19.1657		12.2590
 269		2.6497e+001	19.0914		12.2531
 270		2.6595e+001	19.0131		12.2520
 271		2.6694e+001	18.9435		12.2488
 272		2.6792e+001	18.8625		12.2406
 273		2.6890e+001	18.8048		12.2348
 274		2.6989e+001	18.7219		12.2348
 275		2.7087e+001	18.6343		12.2207
 276		2.7186e+001	18.5686		12.2203
 277		2.7285e+001	18.4903		12.2140
 278		2.7383e+001	18.4014		12.2082
 279		2.7482e+001	18.3371		12.1972
 280		2.7580e+001	18.2515		12.1913
 281		2.7679e+001	18.1885		12.1874
 282		2.7777e+001	18.1042		12.1784
 283		2.7875e+001	18.0127		12.1757
 284		2.7974e+001	17.9543		12.1690
 285		2.8073e+001	17.8727		12.1593
 286		2.8171e+001	17.7858		12.1530
 287		2.8270e+001	17.7115		12.1440
 288		2.8368e+001	17.6365		12.1378
 289		2.8467e+001	17.5668		12.1342
 290		2.8565e+001	17.4819		12.1174
 291		2.8663e+001	17.4090		12.1162
 292		2.8762e+001	17.3167		12.1069
 293		2.8860e+001	17.2464		12.0990
 294		2.8959e+001	17.1615		12.0885
 295		2.9058e+001	17.0998		12.0857
 296		2.9156e+001	17.0076		12.0760
 297		2.9255e+001	16.9260		12.0697
 298		2.9353e+001	16.8450		12.0607
 299		2.9451e+001	16.7628		12.0552
 300		2.9550e+001	16.6918		12.0415
 301		2.9648e+001	16.6142		12.0368
 302		2.9747e+001	16.5445		12.0196
 303		2.9846e+001	16.4636		12.0216
 304		2.9944e+001	16.3780		12.0083
 305		3.0043e+001	16.3037		12.0009
 306		3.0141e+001	16.2194		11.9903
 307		3.0240e+001	16.1365		11.9825
 308		3.0338e+001	16.0529		11.9750
 309		3.0436e+001	15.9819		11.9610
 310		3.0535e+001	15.8957		11.9539
 311		3.0634e+001	15.8327		11.9484
 312		3.0732e+001	15.7464		11.9375
 313		3.0831e+001	15.6754		11.9261
 314		3.0929e+001	15.5786		11.9179
 315		3.1028e+001	15.5029		11.9066
 316		3.1126e+001	15.4187		11.8960
 317		3.1224e+001	15.3543		11.8917
 318		3.1323e+001	15.2774		11.8819
 319		3.1422e+001	15.2031		11.8667
 320		3.1520e+001	15.1055		11.8597
 321		3.1619e+001	15.0478		11.8546
 322		3.1717e+001	14.9602		11.8409
 323		3.1816e+001	14.8767		11.8288
 324		3.1914e+001	14.8010		11.8182
 325		3.2013e+001	14.7227		11.8115
 326		3.2111e+001	14.6451		11.8022
 327		3.2209e+001	14.5682		11.7885
 328		3.2308e+001	14.4819		11.7814
 329		3.2407e+001	14.4169		11.7713
 330		3.2505e+001	14.3326		11.7591
 331		3.2603e+001	14.2497		11.7517
 332		3.2702e+001	14.1787		11.7364
 333		3.2801e+001	14.0932		11.7298
 334		3.2899e+001	14.0215		11.7138
 335		3.2998e+001	13.9213		11.7055
 336		3.3096e+001	13.8676		11.7044
 337		3.3194e+001	13.7847		11.6813
 338		3.3293e+001	13.6951		11.6743
 339		3.3392e+001	13.6274		11.6598
 340		3.3490e+001	13.5438		11.6496
 341		3.3589e+001	13.4795		11.6418
 342		3.3687e+001	13.3992		11.6281
 343		3.3785e+001	13.3289		11.6168
 344		3.3884e+001	13.2367		11.6031
 345		3.3983e+001	13.1531		11.5933
 346		3.4081e+001	13.0715		11.5827
 347		3.4179e+001	12.9806		11.5686
 348		3.4278e+001	12.9189		11.5565
 349		3.4377e+001	12.8406		11.5487
 350		3.4475e+001	12.7676		11.5350
 351		3.4574e+001	12.6860		11.5248
 352		3.4672e+001	12.5998		11.5115
 353		3.4770e+001	12.5301		11.5029
 354		3.4869e+001	12.4452		11.4849
 355		3.4968e+001	12.3709		11.4701
 356		3.5066e+001	12.2953		11.4642
 357		3.5164e+001	12.2210		11.4466
 358		3.5263e+001	12.1321		11.4376
 359		3.5361e+001	12.0551		11.4204
 360		3.5460e+001	11.9735		11.4083
 361		3.5559e+001	11.9032		11.3973
 362		3.5657e+001	11.8236		11.3832
 363		3.5755e+001	11.7493		11.3680
 364		3.5854e+001	11.6650		11.3574
 365		3.5953e+001	11.5801		11.3430
 366		3.6051e+001	11.4919		11.3308
 367		3.6150e+001	11.4255		11.3156
 368		3.6248e+001	11.3433		11.2995
 369		3.6346e+001	11.2776		11.2890
 370		3.6445e+001	11.1860		11.2765
 371		3.6544e+001	11.1117		11.2589
 372		3.6642e+001	11.0334		11.2503
 373		3.6740e+001	10.9598		11.2338
 374		3.6839e+001	10.8769		11.2205
 375		3.6938e+001	10.7900		11.2041
 376		3.7036e+001	10.7210		11.1857
 377		3.7135e+001	10.6447		11.1740
 378		3.7233e+001	10.5664		11.1623
 379		3.7331e+001	10.4868		11.1482
 380		3.7430e+001	10.4105		11.1267
 381		3.7529e+001	10.3242		11.1149
 382		3.7627e+001	10.2433		11.0969
 383		3.7725e+001	10.1723		11.0836
 384		3.7824e+001	10.0927		11.0680
 385		3.7922e+001	10.0283		11.0496
 386		3.8021e+001	9.9408		11.0379
 387		3.8120e+001	9.8605		11.0191
 388		3.8218e+001	9.7855		10.9980
 389		3.8316e+001	9.7006		10.9819
 390		3.8415e+001	9.6124		10.9694
 391		3.8514e+001	9.5493		10.9526
 392		3.8612e+001	9.4737		10.9381
 393		3.8711e+001	9.4001		10.9178
 394		3.8809e+001	9.3032		10.8990
 395		3.8907e+001	9.2183		10.8842
 396		3.9006e+001	9.1493		10.8662
 397		3.9105e+001	9.0670		10.8462
 398		3.9203e+001	8.9941		10.8294
 399		3.9301e+001	8.9105		10.8110
 400		3.9400e+001	8.8289		10.7918
 401		3.9499e+001	8.7599		10.7707
 402		3.9597e+001	8.6862		10.7555
 403		3.9696e+001	8.6000		10.7379
 404		3.9794e+001	8.5297		10.7140
 405		3.9892e+001	8.4487		10.7007
 406		3.9991e+001	8.3718		10.6792
 407		4.0090e+001	8.2961		10.6593
 408		4.0188e+001	8.2052		10.6428
 409		4.0286e+001	8.1230		10.6147
 410		4.0385e+001	8.0447		10.5971
 411		4.0483e+001	7.9638		10.5779
 412		4.0582e+001	7.8848		10.5556
 413		4.0681e+001	7.8218		10.5368
 414		4.0779e+001	7.7296		10.5130
 415		4.0877e+001	7.6646		10.4973
 416		4.0976e+001	7.5783		10.4711
 417		4.1075e+001	7.5007		10.4445
 418		4.1173e+001	7.4224		10.4246
 419		4.1272e+001	7.3474		10.4046
 420		4.1370e+001	7.2685		10.3815
 421		4.1468e+001	7.2075		10.3620
 422		4.1567e+001	7.1265		10.3323
 423		4.1666e+001	7.0383		10.3123
 424		4.1764e+001	6.9441		10.2896
 425		4.1862e+001	6.8731		10.2599
 426		4.1961e+001	6.7849		10.2376
 427		4.2060e+001	6.7099		10.2126
 428		4.2158e+001	6.6323		10.1840
 429		4.2257e+001	6.5613		10.1602
 430		4.2355e+001	6.4837		10.1324
 431		4.2453e+001	6.3987		10.1105
 432		4.2552e+001	6.3138		10.0780
