»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Version:			4.6.11
»»»  Vision Version:		4.6.5 (R)
»»»  Vision Compiled:		7 December 2011
»»»  Driver Version:		4.6.17
»»»  Tester Name:		PPM21211-813
»»»  Tester S/N:		PPM21211-813                    
»»»  Internal Amp Type:		No Internal Amp
»»»  Internal Amp S/N:		100000
»»»  Execution Count:		0
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:				9/22/2023 - 16:17:15
Configured:			09/22/23 03:55:16 PM
Executed:			09/22/23 04:16:46 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:			
Lot Name:			
Wafer Name:			
Die Row/Column:			0/0
Capacitor Number:		0
Sample Area (cm2):		9.46e-001
Sample Thickness (µm):		1.14e+003

Mux Loop Adjustment:		Disabled

Amplifier:			High Voltage (HVA)
HVI Channel/Port:		1/1
Drive Gain Factor:			1000.00r
Drive Voltage Limit:			4000.00r

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:			PPM21211-813
Tester Serial Number:		PPM21211-813                    
Return Signal Amp. Level:	0.00019

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:			Hyst-2
Volts:				2272.00
Field:				20.00 (kV/cm)
Hysteresis Period (ms):		1.00e+002
Preset:				Enabled
Preset Delay (ms):		1.00e+002
Profile:			Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:				1017

Valid Data

Point		Time (ms)	Field (kV/cm)	Measured Polarization
 241		2.3738e+001	18.5328		15.7551
 242		2.3837e+001	18.5987		15.7776
 243		2.3936e+001	18.6866		15.7984
 244		2.4034e+001	18.7558		15.8170
 245		2.4133e+001	18.8398		15.8366
 246		2.4231e+001	18.9130		15.8552
 247		2.4329e+001	18.9862		15.8769
 248		2.4428e+001	19.0701		15.8921
 249		2.4526e+001	19.1648		15.9112
 250		2.4625e+001	19.2293		15.9307
 251		2.4724e+001	19.3085		15.9502
 252		2.4822e+001	19.3865		15.9702
 253		2.4921e+001	19.4711		15.9876
 254		2.5019e+001	19.5389		16.0020
 255		2.5118e+001	19.6155		16.0279
 256		2.5216e+001	19.6504		16.0419
 257		2.5314e+001	19.6786		16.0580
 258		2.5413e+001	19.6618		16.0554
 259		2.5512e+001	19.6302		16.0584
 260		2.5610e+001	19.6155		16.0643
 261		2.5709e+001	19.5738		16.0660
 262		2.5807e+001	19.5255		16.0643
 263		2.5906e+001	19.4650		16.0741
 264		2.6004e+001	19.4167		16.0694
 265		2.6102e+001	19.3636		16.0686
 266		2.6201e+001	19.2884		16.0592
 267		2.6299e+001	19.2286		16.0631
 268		2.6398e+001	19.1487		16.0618
 269		2.6497e+001	19.0862		16.0554
 270		2.6595e+001	19.0090		16.0508
 271		2.6694e+001	18.9600		16.0452
 272		2.6792e+001	18.8713		16.0414
 273		2.6890e+001	18.8015		16.0342
 274		2.6989e+001	18.7229		16.0312
 275		2.7087e+001	18.6376		16.0253
 276		2.7186e+001	18.5678		16.0206
 277		2.7285e+001	18.4999		16.0164
 278		2.7383e+001	18.4099		16.0079
 279		2.7482e+001	18.3320		15.9994
 280		2.7580e+001	18.2568		15.9943
 281		2.7679e+001	18.1863		15.9876
 282		2.7777e+001	18.1030		15.9808
 283		2.7875e+001	18.0291		15.9770
 284		2.7974e+001	17.9499		15.9706
 285		2.8073e+001	17.8673		15.9562
